My Design - Energy Use| Total,My Design - Fuel Use| Electricity: Total,My Design - Fuel Use| Natural Gas: Total,My Design - End Use| Electricity: Heating,My Design - End Use| Electricity: Heating Heat Pump Backup,My Design - End Use| Electricity: Heating Fans/Pumps,My Design - End Use| Electricity: Cooling,My Design - End Use| Electricity: Cooling Fans/Pumps,My Design - End Use| Electricity: Lighting Interior,My Design - End Use| Electricity: Lighting Exterior,My Design - End Use| Electricity: Mech Vent,My Design - End Use| Electricity: Refrigerator,My Design - End Use| Electricity: Dishwasher,My Design - End Use| Electricity: Clothes Washer,My Design - End Use| Electricity: Clothes Dryer,My Design - End Use| Electricity: Range/Oven,My Design - End Use| Electricity: Television,My Design - End Use| Electricity: Plug Loads,My Design - End Use| Natural Gas: Hot Water,My Design - Emissions| CO2e: BEopt: Total,My Design - Emissions| CO2e: BEopt: Electricity: Total,My Design - Emissions| CO2e: BEopt: Natural Gas: Total,My Design - Emissions| CO2e: BEopt: Electricity: Heating,My Design - Emissions| CO2e: BEopt: Electricity: Heating Heat Pump Backup,My Design - Emissions| CO2e: BEopt: Electricity: Heating Fans/Pumps,My Design - Emissions| CO2e: BEopt: Electricity: Cooling,My Design - Emissions| CO2e: BEopt: Electricity: Cooling Fans/Pumps,My Design - Emissions| CO2e: BEopt: Electricity: Lighting Interior,My Design - Emissions| CO2e: BEopt: Electricity: Lighting Exterior,My Design - Emissions| CO2e: BEopt: Electricity: Mech Vent,My Design - Emissions| CO2e: BEopt: Electricity: Refrigerator,My Design - Emissions| CO2e: BEopt: Electricity: Dishwasher,My Design - Emissions| CO2e: BEopt: Electricity: Clothes Washer,My Design - Emissions| CO2e: BEopt: Electricity: Clothes Dryer,My Design - Emissions| CO2e: BEopt: Electricity: Range/Oven,My Design - Emissions| CO2e: BEopt: Electricity: Television,My Design - Emissions| CO2e: BEopt: Electricity: Plug Loads,My Design - Emissions| CO2e: BEopt: Natural Gas: Hot Water,My Design - Hot Water| Clothes Washer,My Design - Hot Water| Dishwasher,My Design - Hot Water| Fixtures,My Design - Hot Water| Distribution Waste,My Design - Load| Heating: Delivered,My Design - Load| Cooling: Delivered,My Design - Load| Hot Water: Delivered,My Design - Component Load| Heating: Roofs,My Design - Component Load| Heating: Ceilings,My Design - Component Load| Heating: Walls,My Design - Component Load| Heating: Doors,My Design - Component Load| Heating: Windows,My Design - Component Load| Heating: Slabs,My Design - Component Load| Heating: Internal Mass,My Design - Component Load| Heating: Infiltration,My Design - Component Load| Heating: Mechanical Ventilation,My Design - Component Load| Heating: Ducts,My Design - Component Load| Heating: Internal Gains,My Design - Component Load| Cooling: Roofs,My Design - Component Load| Cooling: Ceilings,My Design - Component Load| Cooling: Walls,My Design - Component Load| Cooling: Doors,My Design - Component Load| Cooling: Windows,My Design - Component Load| Cooling: Slabs,My Design - Component Load| Cooling: Internal Mass,My Design - Component Load| Cooling: Infiltration,My Design - Component Load| Cooling: Natural Ventilation,My Design - Component Load| Cooling: Mechanical Ventilation,My Design - Component Load| Cooling: Ducts,My Design - Component Load| Cooling: Internal Gains,My Design - Unmet Hours| Heating,My Design - Unmet Hours| Cooling,My Design - Temperature| Attic - Unvented,My Design - Temperature| Living Space,My Design - Temperature| Heating Setpoint,My Design - Temperature| Cooling Setpoint,My Design - Airflow| Infiltration,My Design - Airflow| Mechanical Ventilation,My Design - Airflow| Natural Ventilation,My Design - Weather| Drybulb Temperature,My Design - Weather| Wetbulb Temperature,My Design - Weather| Relative Humidity,My Design - Weather| Wind Speed,My Design - Weather| Diffuse Solar Radiation,My Design - Weather| Direct Solar Radiation
kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
4.11,1.2,0,0.75,0,0.01,0,0,0.06,0.02,0.02,0.04,0,0,0.02,0.01,0.07,0.2,0,0.6243,0.6243,0,0.39086,0,0.00413,0,0,0.02942,0.00865,0.01188,0.02062,0.00218,0.00053,0.00808,0.00487,0.03851,0.10456,0,0.02,0.05,0.33,0.11,7.85,0,0.26,0.06,0.56,3.72,0.12,2.71,0.02,-1.41,0.97,2.15,0.98,-2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.84,72,72,74,30.13,66.48,0,42.98,42.19,94,0,0,0
4.15,1.22,0,0.8,0,0.01,0,0,0.05,0.02,0.02,0.04,0,0,0.01,0.01,0.07,0.19,0,0.63085,0.63085,0,0.41591,0,0.00439,0,0,0.02451,0.008,0.01188,0.0201,0.00102,0.00041,0.00485,0.00487,0.03631,0.09858,0,0.02,0.02,0.15,0.05,8.48,0,0.12,0.1,0.54,4.17,0.11,2.66,0.04,-1.18,0.9,2.05,1.03,-1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.76,72,72,74,29.14,66.07,0,44.06,43.38,95,1.34,0,0
4.19,1.23,0,0.83,0,0.01,0,0,0.05,0.02,0.02,0.04,0,0,0.01,0.01,0.07,0.18,0,0.63715,0.63715,0,0.43084,0,0.00453,0,0,0.02451,0.008,0.01188,0.01959,0.00073,0.00024,0.00323,0.00278,0.03521,0.09559,0,0.01,0.02,0.09,0.03,8.89,0,0.07,0.14,0.51,4.36,0.1,2.58,0.1,-0.95,0.87,1.97,1.12,-1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.92,72,72,74,28.9,65.87,0,44.96,44.41,96,4.7,0,0
5.63,1.22,1.45,0.84,0,0.01,0,0,0.05,0.01,0.02,0.04,0,0,0,0.01,0.07,0.18,1.45,0.84876,0.63503,0.21373,0.43565,0,0.00456,0,0,0.02451,0.00757,0.01188,0.01907,0.00044,0.00024,0.00162,0.00278,0.03411,0.09261,0.21373,0.01,0.01,0.15,0.05,9.07,0,0.11,0.17,0.45,4.37,0.1,2.55,0.15,-0.74,0.86,1.88,1.16,-1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.15,72,72,74,29.88,65.67,0,46.04,44.62,90,8.05,0,0
4.24,1.24,0,0.84,0,0.01,0,0,0.05,0.01,0.02,0.04,0,0,0.01,0.01,0.07,0.18,0,0.64418,0.64418,0,0.43493,0,0.00453,0,0,0.02696,0.00757,0.01188,0.01856,0.00044,0.00041,0.00323,0.00487,0.03521,0.09559,0,0.02,0.01,0.42,0.15,9.11,0,0.3,0.19,0.36,4.28,0.1,2.52,0.21,-0.55,0.92,1.82,1.18,-1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.39,72,72,74,33.13,65.87,0,46.94,44.46,83,11.63,0,0
5.87,1.28,1.49,0.83,0,0.01,0,0,0.09,0.02,0.02,0.04,0,0,0.01,0.01,0.07,0.19,1.49,0.88562,0.66588,0.21974,0.42895,0,0.00443,0,0,0.04412,0.00844,0.01188,0.01856,0.00146,0.00065,0.00485,0.00766,0.03631,0.09858,0.21974,0.03,0.03,1.56,0.55,9.04,0,1.09,0.2,0.29,4.16,0.09,2.45,0.27,-0.39,1.01,1.75,1.17,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.6,72,72,74,38.09,66.07,0,48.02,44.57,77,14.99,0,0
9.54,1.43,4.66,0.84,0,0.01,0,0,0.14,0.02,0.02,0.04,0.01,0,0.02,0.03,0.08,0.21,4.66,1.42795,0.74132,0.68663,0.43648,0,0.00454,0,0,0.07354,0.00952,0.01188,0.01959,0.00291,0.0013,0.01293,0.0174,0.04071,0.11053,0.68663,0.06,0.06,3.53,1.24,9.15,0,2.47,0.21,0.22,4.02,0.09,2.63,0.3,-0.28,1.1,1.86,1.15,-2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.76,72,72,74,39.69,67.08,0,46.94,42.19,68,15.43,0,0
8.47,1.57,3.11,0.85,0,0.01,0,0,0.18,0.02,0.02,0.04,0.01,0.01,0.05,0.06,0.09,0.24,3.11,1.27327,0.81548,0.45779,0.44216,0,0.00463,0,0,0.09315,0.00887,0.01188,0.02062,0.00452,0.00289,0.02587,0.02923,0.04621,0.12547,0.45779,0.13,0.09,3.49,1.23,9.21,0,2.5,0.21,0.18,3.92,0.09,2.75,0.34,-0.19,1.17,1.98,1.16,-2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.91,72,72,74,40.49,68.68,0,46.04,39.84,58,15.66,0,0
8.48,1.58,3.07,0.81,0,0.01,0,0,0.19,0.01,0.02,0.04,0.02,0.01,0.07,0.06,0.09,0.25,3.07,1.27463,0.82182,0.45281,0.41788,0,0.00439,0,0,0.1005,0.00671,0.01188,0.02113,0.00845,0.0043,0.0388,0.03201,0.04731,0.12845,0.45281,0.19,0.17,2.84,1,8.58,0,2.13,0.26,0.28,4.21,0.1,-0.13,0.99,0.59,1.26,2.12,1.16,-2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.11,72,72,74,41.91,70.28,0,44.96,37.53,49,16.11,23.14,62.45
