My Design - Energy Use| Total,My Design - Fuel Use| Electricity: Total,My Design - Fuel Use| Natural Gas: Total,My Design - End Use| Electricity: Heating,My Design - End Use| Electricity: Heating Heat Pump Backup,My Design - End Use| Electricity: Heating Fans/Pumps,My Design - End Use| Electricity: Cooling,My Design - End Use| Electricity: Cooling Fans/Pumps,My Design - End Use| Electricity: Lighting Interior,My Design - End Use| Electricity: Lighting Exterior,My Design - End Use| Electricity: Mech Vent,My Design - End Use| Electricity: Refrigerator,My Design - End Use| Electricity: Dishwasher,My Design - End Use| Electricity: Clothes Washer,My Design - End Use| Electricity: Clothes Dryer,My Design - End Use| Electricity: Range/Oven,My Design - End Use| Electricity: Television,My Design - End Use| Electricity: Plug Loads,My Design - End Use| Natural Gas: Hot Water,My Design - Emissions| CO2e: BEopt: Total,My Design - Emissions| CO2e: BEopt: Electricity: Total,My Design - Emissions| CO2e: BEopt: Natural Gas: Total,My Design - Emissions| CO2e: BEopt: Electricity: Heating,My Design - Emissions| CO2e: BEopt: Electricity: Heating Heat Pump Backup,My Design - Emissions| CO2e: BEopt: Electricity: Heating Fans/Pumps,My Design - Emissions| CO2e: BEopt: Electricity: Cooling,My Design - Emissions| CO2e: BEopt: Electricity: Cooling Fans/Pumps,My Design - Emissions| CO2e: BEopt: Electricity: Lighting Interior,My Design - Emissions| CO2e: BEopt: Electricity: Lighting Exterior,My Design - Emissions| CO2e: BEopt: Electricity: Mech Vent,My Design - Emissions| CO2e: BEopt: Electricity: Refrigerator,My Design - Emissions| CO2e: BEopt: Electricity: Dishwasher,My Design - Emissions| CO2e: BEopt: Electricity: Clothes Washer,My Design - Emissions| CO2e: BEopt: Electricity: Clothes Dryer,My Design - Emissions| CO2e: BEopt: Electricity: Range/Oven,My Design - Emissions| CO2e: BEopt: Electricity: Television,My Design - Emissions| CO2e: BEopt: Electricity: Plug Loads,My Design - Emissions| CO2e: BEopt: Natural Gas: Hot Water,My Design - Hot Water| Clothes Washer,My Design - Hot Water| Dishwasher,My Design - Hot Water| Fixtures,My Design - Hot Water| Distribution Waste,My Design - Load| Heating: Delivered,My Design - Load| Cooling: Delivered,My Design - Load| Hot Water: Delivered,My Design - Component Load| Heating: Roofs,My Design - Component Load| Heating: Ceilings,My Design - Component Load| Heating: Walls,My Design - Component Load| Heating: Doors,My Design - Component Load| Heating: Windows,My Design - Component Load| Heating: Slabs,My Design - Component Load| Heating: Internal Mass,My Design - Component Load| Heating: Infiltration,My Design - Component Load| Heating: Mechanical Ventilation,My Design - Component Load| Heating: Ducts,My Design - Component Load| Heating: Internal Gains,My Design - Component Load| Cooling: Roofs,My Design - Component Load| Cooling: Ceilings,My Design - Component Load| Cooling: Walls,My Design - Component Load| Cooling: Doors,My Design - Component Load| Cooling: Windows,My Design - Component Load| Cooling: Slabs,My Design - Component Load| Cooling: Internal Mass,My Design - Component Load| Cooling: Infiltration,My Design - Component Load| Cooling: Natural Ventilation,My Design - Component Load| Cooling: Mechanical Ventilation,My Design - Component Load| Cooling: Ducts,My Design - Component Load| Cooling: Internal Gains,My Design - Unmet Hours| Heating,My Design - Unmet Hours| Cooling,My Design - Temperature| Attic - Unvented,My Design - Temperature| Living Space,My Design - Temperature| Heating Setpoint,My Design - Temperature| Cooling Setpoint,My Design - Airflow| Infiltration,My Design - Airflow| Mechanical Ventilation,My Design - Airflow| Natural Ventilation,My Design - Weather| Drybulb Temperature,My Design - Weather| Wetbulb Temperature,My Design - Weather| Relative Humidity,My Design - Weather| Wind Speed,My Design - Weather| Diffuse Solar Radiation,My Design - Weather| Direct Solar Radiation
kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
17.15,5.03,0,1.49,2.9,0.2,0,0,0.06,0.02,0.02,0.04,0,0,0.02,0.01,0.07,0.2,0,2.60611,2.60611,0,0.77431,1.50313,0.10227,0,0,0.02942,0.00865,0.00898,0.02062,0.00218,0.00053,0.00808,0.00487,0.03851,0.10456,0,0.02,0.05,0.36,0.13,22.66,0,0.37,0.4,-3.16,8.81,0.2,4.62,2.6,-0.67,3.16,2.61,6,-2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.91,73,73,76,61.08,50.48,0,28.04,25.1,69,13.87,0,0
19.02,5.57,0,1.49,3.49,0.2,0,0,0.05,0.02,0.02,0.04,0,0,0.01,0.01,0.07,0.19,0,2.89054,2.89054,0,0.77171,1.80892,0.10227,0,0,0.02451,0.008,0.00898,0.0201,0.00102,0.00041,0.00485,0.00487,0.03631,0.09858,0,0.02,0.02,0.17,0.06,24.53,0,0.17,0.42,-3.18,8.6,0.18,5.07,2.64,-0.52,5.17,2.71,5.25,-1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.86,73,73,76,95.36,50.08,0,26.06,23.02,66,26.4,0,0
22.15,6.07,1.45,1.48,4,0.2,0,0,0.05,0.02,0.02,0.04,0,0,0.01,0.01,0.07,0.18,1.45,3.35922,3.14558,0.21364,0.76852,2.07592,0.10227,0,0,0.02451,0.008,0.00898,0.01959,0.00073,0.00024,0.00323,0.00278,0.03521,0.09559,0.21364,0.01,0.02,0.1,0.04,26.18,0,0.11,0.42,-2.98,8.23,0.18,5.3,2.68,-0.41,5.5,2.83,6.25,-1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.09,73,73,76,96.89,49.88,0,24.08,20.96,63,26.4,0,0
23.21,6.8,0,1.44,4.79,0.2,0,0,0.05,0.01,0.02,0.04,0,0,0,0.01,0.07,0.18,0,3.52681,3.52681,0,0.74666,2.48596,0.10227,0,0,0.02451,0.00757,0.00898,0.01907,0.00044,0.00024,0.00162,0.00278,0.03411,0.09261,0,0.01,0.01,0.17,0.06,27.66,0,0.16,0.41,-3.21,8.01,0.18,5.78,2.74,-0.32,6.21,3.09,6.45,-1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.48,73,73,76,99.96,49.68,0,19.94,18.26,77,26.4,0,0
28.24,7.85,1.46,1.4,5.86,0.2,0,0,0.05,0.01,0.02,0.04,0,0,0.01,0.01,0.07,0.18,1.46,4.28432,4.06875,0.21557,0.72551,3.03915,0.10227,0,0,0.02696,0.00757,0.00898,0.01856,0.00044,0.00041,0.00323,0.00487,0.03521,0.09559,0.21557,0.02,0.01,0.47,0.16,30.38,0,0.43,0.4,-3.36,7.97,0.19,6.73,2.65,-0.41,7.96,3.63,6.9,-1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.22,72.79,73,76,109.98,49.88,0,12.02,10.54,73,27.74,0,0
28.27,7.84,1.51,1.41,5.79,0.2,0,0,0.09,0.02,0.02,0.04,0,0,0.01,0.01,0.07,0.19,1.51,4.28826,4.06555,0.2227,0.72966,3.00404,0.10227,0,0,0.04412,0.00844,0.00898,0.01856,0.00146,0.00065,0.00485,0.00766,0.03631,0.09858,0.2227,0.03,0.03,1.73,0.61,30.13,0,1.58,0.39,-3.55,8.25,0.21,6.51,2.66,-0.52,6.08,3.63,7.64,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.37,72.97,73,76,83.72,50.08,0,12.02,10.04,64,18.34,0,0
32.22,8.03,4.82,1.4,5.86,0.2,0,0,0.14,0.02,0.02,0.04,0.01,0,0.02,0.03,0.08,0.21,4.82,4.87307,4.16332,0.70975,0.7245,3.03915,0.10227,0,0,0.07354,0.00952,0.00898,0.01959,0.00291,0.0013,0.01293,0.0174,0.04071,0.11053,0.70975,0.06,0.06,3.93,1.38,30.08,0,3.57,0.41,-3.8,8.91,0.22,6.75,2.77,-0.28,5.94,3.86,7.26,-2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.15,72.94,73,76,78.92,51.08,0,10.04,7.89,58,14.99,0,0
32.68,8.17,4.82,1.4,5.86,0.2,0,0,0.18,0.02,0.02,0.04,0.01,0.01,0.05,0.06,0.09,0.24,4.82,4.94422,4.23361,0.71062,0.7264,3.03915,0.10227,0,0,0.09315,0.00887,0.00898,0.02062,0.00452,0.00289,0.02587,0.02923,0.04621,0.12547,0.71062,0.13,0.09,3.89,1.37,30.46,0,3.61,0.41,-3.81,9.31,0.23,6.91,2.73,-0.32,7.13,3.97,7.34,-2.43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87.32,72.48,73,76,95.51,52.68,0,10.04,7.89,58,23.04,0,0
32.77,8.22,4.74,1.39,5.86,0.2,0,0,0.19,0.01,0.02,0.04,0.02,0.01,0.07,0.06,0.09,0.25,4.74,4.9581,4.25951,0.69859,0.72144,3.03915,0.10227,0,0,0.1005,0.00671,0.00898,0.02113,0.00845,0.0043,0.0388,0.03201,0.04731,0.12845,0.69859,0.19,0.17,3.16,1.11,30.06,0,3.05,0.45,-3.66,9.91,0.24,1.86,3.67,0.47,7.26,4.14,7.35,-2.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87.45,72.62,73,76,95.16,54.28,0,8.96,7.05,61,23.04,13.63,152.16
