My Design - Energy Use| Total,My Design - Fuel Use| Electricity: Total,My Design - Fuel Use| Natural Gas: Total,My Design - End Use| Electricity: Heating,My Design - End Use| Electricity: Heating Heat Pump Backup,My Design - End Use| Electricity: Heating Fans/Pumps,My Design - End Use| Electricity: Cooling,My Design - End Use| Electricity: Cooling Fans/Pumps,My Design - End Use| Electricity: Lighting Interior,My Design - End Use| Electricity: Lighting Exterior,My Design - End Use| Electricity: Mech Vent,My Design - End Use| Electricity: Refrigerator,My Design - End Use| Electricity: Dishwasher,My Design - End Use| Electricity: Clothes Washer,My Design - End Use| Electricity: Clothes Dryer,My Design - End Use| Electricity: Range/Oven,My Design - End Use| Electricity: Television,My Design - End Use| Electricity: Plug Loads,My Design - End Use| Natural Gas: Hot Water,My Design - Emissions| CO2e: BEopt: Total,My Design - Emissions| CO2e: BEopt: Electricity: Total,My Design - Emissions| CO2e: BEopt: Natural Gas: Total,My Design - Emissions| CO2e: BEopt: Electricity: Heating,My Design - Emissions| CO2e: BEopt: Electricity: Heating Heat Pump Backup,My Design - Emissions| CO2e: BEopt: Electricity: Heating Fans/Pumps,My Design - Emissions| CO2e: BEopt: Electricity: Cooling,My Design - Emissions| CO2e: BEopt: Electricity: Cooling Fans/Pumps,My Design - Emissions| CO2e: BEopt: Electricity: Lighting Interior,My Design - Emissions| CO2e: BEopt: Electricity: Lighting Exterior,My Design - Emissions| CO2e: BEopt: Electricity: Mech Vent,My Design - Emissions| CO2e: BEopt: Electricity: Refrigerator,My Design - Emissions| CO2e: BEopt: Electricity: Dishwasher,My Design - Emissions| CO2e: BEopt: Electricity: Clothes Washer,My Design - Emissions| CO2e: BEopt: Electricity: Clothes Dryer,My Design - Emissions| CO2e: BEopt: Electricity: Range/Oven,My Design - Emissions| CO2e: BEopt: Electricity: Television,My Design - Emissions| CO2e: BEopt: Electricity: Plug Loads,My Design - Emissions| CO2e: BEopt: Natural Gas: Hot Water,My Design - Hot Water| Clothes Washer,My Design - Hot Water| Dishwasher,My Design - Hot Water| Fixtures,My Design - Hot Water| Distribution Waste,My Design - Load| Heating: Delivered,My Design - Load| Cooling: Delivered,My Design - Load| Hot Water: Delivered,My Design - Component Load| Heating: Roofs,My Design - Component Load| Heating: Ceilings,My Design - Component Load| Heating: Walls,My Design - Component Load| Heating: Doors,My Design - Component Load| Heating: Windows,My Design - Component Load| Heating: Slabs,My Design - Component Load| Heating: Internal Mass,My Design - Component Load| Heating: Infiltration,My Design - Component Load| Heating: Mechanical Ventilation,My Design - Component Load| Heating: Ducts,My Design - Component Load| Heating: Internal Gains,My Design - Component Load| Cooling: Roofs,My Design - Component Load| Cooling: Ceilings,My Design - Component Load| Cooling: Walls,My Design - Component Load| Cooling: Doors,My Design - Component Load| Cooling: Windows,My Design - Component Load| Cooling: Slabs,My Design - Component Load| Cooling: Internal Mass,My Design - Component Load| Cooling: Infiltration,My Design - Component Load| Cooling: Natural Ventilation,My Design - Component Load| Cooling: Mechanical Ventilation,My Design - Component Load| Cooling: Ducts,My Design - Component Load| Cooling: Internal Gains,My Design - Unmet Hours| Heating,My Design - Unmet Hours| Cooling,My Design - Temperature| Attic - Unvented,My Design - Temperature| Living Space,My Design - Temperature| Heating Setpoint,My Design - Temperature| Cooling Setpoint,My Design - Airflow| Infiltration,My Design - Airflow| Mechanical Ventilation,My Design - Airflow| Natural Ventilation,My Design - Weather| Drybulb Temperature,My Design - Weather| Wetbulb Temperature,My Design - Weather| Relative Humidity,My Design - Weather| Wind Speed,My Design - Weather| Diffuse Solar Radiation,My Design - Weather| Direct Solar Radiation
kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
11.1,3.25,0,2.5,0,0.31,0,0,0.06,0.02,0.02,0.04,0,0,0.02,0.01,0.07,0.2,0,1.68601,1.68601,0,1.29848,0,0.16114,0,0,0.02942,0.00865,0.00898,0.02062,0.00218,0.00053,0.00808,0.00487,0.03851,0.10456,0,0.02,0.05,0.36,0.13,20.35,0,0.37,0.39,0.54,7.86,0.19,4.46,2.27,-0.73,3.04,2.55,1.74,-2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.86,72,72,74,60.14,50.48,0,28.04,25.1,69,13.87,0,0
12.21,3.58,0,2.83,0,0.35,0,0,0.05,0.02,0.02,0.04,0,0,0.01,0.01,0.07,0.19,0,1.85595,1.85595,0,1.46485,0,0.18346,0,0,0.02451,0.008,0.00898,0.0201,0.00102,0.00041,0.00485,0.00487,0.03631,0.09858,0,0.02,0.02,0.17,0.06,22.88,0,0.17,0.4,0.51,7.72,0.18,4.9,2.33,-0.56,5.02,2.66,1.59,-1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.57,72,72,74,94.65,50.08,0,26.06,23.02,66,26.4,0,0
14.13,3.72,1.45,2.96,0,0.37,0,0,0.05,0.02,0.02,0.04,0,0,0.01,0.01,0.07,0.18,1.45,2.14049,1.92682,0.21367,1.53495,0,0.19301,0,0,0.02451,0.008,0.00898,0.01959,0.00073,0.00024,0.00323,0.00278,0.03521,0.09559,0.21367,0.01,0.02,0.1,0.04,23.77,0,0.11,0.41,0.52,7.41,0.17,5.14,2.41,-0.4,5.35,2.78,1.82,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.03,72,72,74,96.17,49.88,0,24.08,20.96,63,26.4,0,0
14.06,4.12,0,3.32,0,0.43,0,0,0.05,0.01,0.02,0.04,0,0,0,0.01,0.07,0.18,0,2.13586,2.13586,0,1.72119,0,0.22276,0,0,0.02451,0.00757,0.00898,0.01907,0.00044,0.00024,0.00162,0.00278,0.03411,0.09261,0,0.01,0.01,0.17,0.06,25.04,0,0.16,0.4,0.44,7.18,0.17,5.6,2.42,-0.35,6.05,3.03,1.85,-1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.14,72,72,74,99.24,49.68,0,19.94,18.26,77,26.4,0,0
18.18,4.9,1.46,3.98,0,0.53,0,0,0.05,0.01,0.02,0.04,0,0,0.01,0.01,0.07,0.18,1.46,2.7554,2.5398,0.21559,2.06298,0,0.27501,0,0,0.02696,0.00757,0.00898,0.01856,0.00044,0.00041,0.00323,0.00487,0.03521,0.09559,0.21559,0.02,0.01,0.47,0.16,28.1,0,0.43,0.39,0.38,7.11,0.19,6.55,2.35,-0.44,7.81,3.57,1.96,-1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.25,72,72,74,109.28,49.88,0,12.02,10.54,73,27.74,0,0
17.56,4.7,1.51,3.76,0,0.5,0,0,0.09,0.02,0.02,0.04,0,0,0.01,0.01,0.07,0.19,1.51,2.66188,2.43915,0.22273,1.95203,0,0.25753,0,0,0.04412,0.00844,0.00898,0.01856,0.00146,0.00065,0.00485,0.00766,0.03631,0.09858,0.22273,0.03,0.03,1.73,0.61,26.75,0,1.58,0.39,0.4,7.43,0.21,6.37,2.45,-0.38,5.93,3.58,2.2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.57,72,72,74,83.05,50.08,0,12.02,10.04,64,18.34,0,0
21.77,4.97,4.82,3.88,0,0.51,0,0,0.14,0.02,0.02,0.04,0.01,0,0.02,0.03,0.08,0.21,4.82,3.28639,2.57654,0.70985,2.0122,0,0.26695,0,0,0.07354,0.00952,0.00898,0.01959,0.00291,0.0013,0.01293,0.0174,0.04071,0.11053,0.70985,0.06,0.06,3.93,1.38,27.09,0,3.57,0.39,0.36,7.86,0.22,6.57,2.43,-0.38,5.79,3.8,2.06,-2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.18,72,72,74,78.07,51.08,0,10.04,7.89,58,14.99,0,0
23.15,5.37,4.82,4.11,0,0.55,0,0,0.18,0.02,0.02,0.04,0.01,0.01,0.05,0.06,0.09,0.24,4.82,3.49489,2.78417,0.71072,2.13359,0,0.2848,0,0,0.09315,0.00887,0.00898,0.02062,0.00452,0.00289,0.02587,0.02923,0.04621,0.12547,0.71072,0.13,0.09,3.89,1.37,28.95,0,3.61,0.39,0.44,8.27,0.22,6.73,2.44,-0.38,7.02,3.91,2.14,-2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.09,72,72,74,94.78,52.68,0,10.04,7.89,58,23.04,0,0
23.04,5.36,4.74,4.05,0,0.54,0,0,0.19,0.01,0.02,0.04,0.02,0.01,0.07,0.06,0.09,0.25,4.74,3.47888,2.78023,0.69864,2.10224,0,0.28136,0,0,0.1005,0.00671,0.00898,0.02113,0.00845,0.0043,0.0388,0.03201,0.04731,0.12845,0.69864,0.19,0.17,3.16,1.11,27.99,0,3.05,0.47,0.69,9.09,0.23,1.74,3.56,0.79,7.16,4.11,2.29,-2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.36,72,72,74,94.79,54.28,0,8.96,7.05,61,23.04,13.63,152.16
