"Outdoor Temperature (°F)","Supplemental Heat (low)","Supplemental Heat (high)","Modulating Heat Pump (low)","Modulating Heat Pump (high)","Potential Low-Load Cycling","Design Temperature","Heating Max. Cap.","Heating Min. Cap.","Heating Load Line (Btu/h)","Annual Load x Hours (Btu/yr)","Heating Rated Cap."
-67,,,,,,,,,105833,0,
-66,,,,,,,,,105000,0,
-65,,,,,,,,,104166,0,
-64,,,,,,,,,103333,0,
-63,,,,,,,,,102500,0,
-62,,,,,,,,,101666,0,
-61,,,,,,,,,100833,0,
-60,,,,,,,,,100000,0,
-59,,,,,,,,,99166,0,
-58,,,,,,,,,98333,0,
-57,,,,,,,,,97500,0,
-56,,,,,,,,,96666,0,
-55,,,,,,,,,95833,0,
-54,,,,,,,,,95000,0,
-53,,,,,,,,,94166,0,
-52,,,,,,,,,93333,0,
-51,,,,,,,,,92500,0,
-50,,,,,,,,,91666,0,
-49,,,,,,,,,90833,0,
-48,,,,,,,,,90000,0,
-47,,,,,,,,,89166,0,
-46,,,,,,,,,88333,0,
-45,,,,,,,,,87500,0,
-44,,,,,,,,,86666,0,
-43,,,,,,,,,85833,0,
-42,,,,,,,,,85000,0,
-41,,,,,,,,,84166,0,
-40,,,,,,,,,83333,0,
-39,,,,,,,,,82500,0,
-38,,,,,,,,,81666,0,
-37,,,,,,,,,80833,0,
-36,,,,,,,,,80000,0,
-35,,,,,,,,,79166,0,
-34,,,,,,,,,78333,0,
-33,,,,,,,,,77500,0,
-32,,,,,,,,,76666,0,
-31,,,,,,,,,75833,0,
-30,,,,,,,,,75000,0,
-29,,,,,,,,,74166,0,
-28,,,,,,,,,73333,0,
-27,,,,,,,,,72500,0,
-26,,,,,,,,,71666,0,
-25,,,,,,,,,70833,0,
-24,,,,,,,,,70000,0,
-23,,,,,,,,,69166,0,
-22,,,,,,,,,68333,0,
-21,,,,,,,,,67500,0,
-20,,,,,,,,,66666,0,
-19,,,,,,,,,65833,0,
-18,,,,,,,,,65000,0,
-17,,,,,,,,,64166,0,
-16,,,,,,,,,63333,0,
-15,,,,,,,,,62500,0,
-14,,,,,,,,,61666,0,
-13,0,60833,14000,38400,,,38400,14000,60833,0,
-12,38933,60000,13888,38933,,,,,60000,0,
-11,39466,59166,13777,39466,,,,,59166,0,
-10,40000,58333,13666,40000,,,,,58333,0,
-9,40533,57500,13555,40533,,,,,57500,0,
-8,41066,56666,13444,41066,,,,,56666,0,
-7,41600,55833,13333,41600,,,,,55833,0,
-6,42133,55000,13222,42133,,,,,55000,0,
-5,42666,54166,13111,42666,,,,,54166,0,
-4,43200,53333,13000,43200,,,,,53333,0,
-3,43733,52500,12888,43733,,,,,52500,0,
-2,44266,51666,12777,44266,,,,,51666,0,
-1,44800,50833,12666,44800,,,,,50833,0,
0,45333,50000,12555,45333,,,,,50000,0,
1,45866,49166,12444,45866,,,,,49166,0,
2,46400,48333,12333,46400,,,,,48333,0,
3,46933,47500,12222,46933,,,,,47500,0,
4,,,12111,47466,,,,,46666,0,
5,,,12000,48000,,,48000,12000,45833,0,
6,,,12416,48000,,,,,45000,0,
7,,,12833,48000,,,,,44166,0,
8,,,13250,48000,,,,,43333,0,
9,,,13666,48000,,,,,42500,0,
10,,,14083,48000,,,,,41666,0,
11,,,14500,48000,,,,,40833,0,
12,,,14916,48000,,,,,40000,0,
13,,,15333,48000,,,,,39166,0,
14,,,15750,48000,,,,,38333,0,
15,,,16166,48000,,,,,37500,0,
16,,,16583,48000,,,,,36666,0,
17,,,17000,48000,,,48000,17000,35833,0,42000
18,,,17166,48200,,,,,35000,0,
19,,,17333,48400,,,,,34166,0,
20,,,17500,48600,,,,,33333,0,
21,,,17666,48800,,,,,32500,0,
22,,,17833,49000,,,,,31666,0,
23,,,18000,49200,,,,,30833,30833,
24,,,18166,49400,,,,,30000,90000,
25,,,18333,49600,,,,,29166,87500,
26,,,18500,49800,,,,,28333,141666,
27,,,18666,50000,,,,,27500,192500,
28,,,18833,50200,,,,,26666,240000,
29,,,19000,50400,,,,,25833,232500,
30,,,19166,50600,,0,,,25000,275000,
30,,,,,,31250,,,,,
31,,,19333,50800,,,,,24166,290000,
32,,,19500,51000,,,,,23333,326666,
33,,,19666,51200,,,,,22500,337500,
34,,,19833,51400,,,,,21666,411666,
35,,,20000,51600,20833,,,,20833,458333,
36,,,20166,51800,20000,,,,20000,520000,
37,,,20333,52000,19166,,,,19166,594166,
38,,,20500,52200,18333,,,,18333,605000,
39,,,20666,52400,17500,,,,17500,647500,
40,,,20833,52600,16666,,,,16666,666666,
41,,,21000,52800,15833,,,,15833,680833,
42,,,21166,53000,15000,,,,15000,690000,
43,,,21333,53200,14166,,,,14166,779166,
44,,,21500,53400,13333,,,,13333,813333,
45,,,21666,53600,12500,,,,12500,837500,
46,,,21833,53800,11666,,,,11666,863333,
47,,,22000,54000,10833,,54000,22000,10833,899166,48000
48,,,22166,54200,10000,,,,10000,950000,
49,,,22333,54400,9166,,,,9166,925833,
50,,,22500,54600,8333,,,,8333,925000,
51,,,22666,54800,7500,,,,7500,870000,
52,,,22833,55000,6666,,,,6666,800000,
53,,,23000,55200,5833,,,,5833,682500,
54,,,23166,55400,5000,,,,5000,610000,
55,,,23333,55600,4166,,,,4166,537500,
56,,,23500,55800,3333,,,,3333,456666,
57,,,23666,56000,2500,,,,2500,357500,
58,,,23833,56200,1666,,,,1666,248333,
59,,,24000,56400,833,,,,833,126666,
60,,,24166,56600,0,,,,0,0,
