,living_space_temp,heating_setpoint,cooling_setpoint,energy_use,heating_deviation,cooling_deviation,deviation_from_avg,exceeds_setpoints
2023-01-01 00:00:00,72.0,72,74,4.09,0.0,-2.0,-1.0,False
2023-01-01 01:00:00,72.0,72,74,4.12,0.0,-2.0,-1.0,False
2023-01-01 02:00:00,72.0,72,74,4.15,0.0,-2.0,-1.0,False
2023-01-01 03:00:00,72.0,72,74,5.58,0.0,-2.0,-1.0,False
2023-01-01 04:00:00,72.0,72,74,4.19,0.0,-2.0,-1.0,False
2023-01-01 05:00:00,72.0,72,74,5.82,0.0,-2.0,-1.0,False
2023-01-01 06:00:00,72.0,72,74,9.48,0.0,-2.0,-1.0,False
2023-01-01 07:00:00,72.0,72,74,8.41,0.0,-2.0,-1.0,False
2023-01-01 08:00:00,72.0,72,74,8.42,0.0,-2.0,-1.0,False
2023-01-01 09:00:00,72.0,72,74,6.4,0.0,-2.0,-1.0,False
2023-01-01 10:00:00,72.0,72,74,7.23,0.0,-2.0,-1.0,False
2023-01-01 11:00:00,72.0,72,74,5.11,0.0,-2.0,-1.0,False
2023-01-01 12:00:00,72.0,72,74,4.68,0.0,-2.0,-1.0,False
2023-01-01 13:00:00,72.0,72,74,4.21,0.0,-2.0,-1.0,False
2023-01-01 14:00:00,72.78,72,74,2.66,0.7800000000000011,-1.2199999999999989,-0.21999999999999886,False
2023-01-01 15:00:00,73.32,72,74,4.22,1.3199999999999932,-0.6800000000000068,0.3199999999999932,False
2023-01-01 16:00:00,73.27,72,74,4.63,1.269999999999996,-0.730000000000004,0.269999999999996,False
2023-01-01 17:00:00,72.85,72,74,5.29,0.8499999999999943,-1.1500000000000057,-0.15000000000000568,False
2023-01-01 18:00:00,72.4,72,74,5.55,0.4000000000000057,-1.5999999999999943,-0.5999999999999943,False
2023-01-01 19:00:00,72.0,72,74,5.87,0.0,-2.0,-1.0,False
2023-01-01 20:00:00,72.0,72,74,6.22,0.0,-2.0,-1.0,False
2023-01-01 21:00:00,72.0,72,74,6.08,0.0,-2.0,-1.0,False
2023-01-01 22:00:00,72.0,72,74,5.75,0.0,-2.0,-1.0,False
2023-01-01 23:00:00,72.0,72,74,6.18,0.0,-2.0,-1.0,False
2023-01-02 00:00:00,72.0,72,74,4.94,0.0,-2.0,-1.0,False
2023-01-02 01:00:00,72.0,72,74,5.19,0.0,-2.0,-1.0,False
2023-01-02 02:00:00,72.0,72,74,7.39,0.0,-2.0,-1.0,False
2023-01-02 03:00:00,72.0,72,74,6.22,0.0,-2.0,-1.0,False
2023-01-02 04:00:00,72.0,72,74,4.93,0.0,-2.0,-1.0,False
2023-01-02 05:00:00,72.0,72,74,8.11,0.0,-2.0,-1.0,False
2023-01-02 06:00:00,72.0,72,74,8.49,0.0,-2.0,-1.0,False
2023-01-02 07:00:00,72.0,72,74,8.72,0.0,-2.0,-1.0,False
2023-01-02 08:00:00,72.0,72,74,8.21,0.0,-2.0,-1.0,False
2023-01-02 09:00:00,72.0,72,74,7.25,0.0,-2.0,-1.0,False
2023-01-02 10:00:00,72.0,72,74,4.83,0.0,-2.0,-1.0,False
2023-01-02 11:00:00,72.22,72,74,4.26,0.21999999999999886,-1.7800000000000011,-0.7800000000000011,False
2023-01-02 12:00:00,72.97,72,74,4.25,0.9699999999999989,-1.0300000000000011,-0.030000000000001137,False
2023-01-02 13:00:00,73.8,72,74,4.15,1.7999999999999972,-0.20000000000000284,0.7999999999999972,False
2023-01-02 14:00:00,73.99,72,74,4.38,1.9899999999999949,-0.010000000000005116,0.9899999999999949,False
2023-01-02 15:00:00,74.0,72,74,3.09,2.0,0.0,1.0,False
2023-01-02 16:00:00,74.0,72,74,5.01,2.0,0.0,1.0,False
