,living_space_temp,heating_setpoint,cooling_setpoint,heating_deviation,cooling_deviation,exceeds_setpoints,in_range,excess_temp
2023-01-01 00:00:00,73.0,73,76,0.0,-3.0,False,In Range,0.0
2023-01-01 01:00:00,73.0,73,76,0.0,-3.0,False,In Range,0.0
2023-01-01 02:00:00,73.0,73,76,0.0,-3.0,False,In Range,0.0
2023-01-01 03:00:00,73.0,73,76,0.0,-3.0,False,In Range,0.0
2023-01-01 04:00:00,72.79,73,76,-0.20999999999999375,-3.2099999999999937,True,Too Cold,-0.20999999999999375
2023-01-01 05:00:00,72.97,73,76,-0.030000000000001137,-3.030000000000001,True,Too Cold,-0.030000000000001137
2023-01-01 06:00:00,72.94,73,76,-0.060000000000002274,-3.0600000000000023,True,Too Cold,-0.060000000000002274
2023-01-01 07:00:00,72.48,73,76,-0.519999999999996,-3.519999999999996,True,Too Cold,-0.519999999999996
2023-01-01 08:00:00,72.62,73,76,-0.37999999999999545,-3.3799999999999955,True,Too Cold,-0.37999999999999545
2023-01-01 09:00:00,72.56,73,76,-0.4399999999999977,-3.4399999999999977,True,Too Cold,-0.4399999999999977
2023-01-01 10:00:00,72.44,73,76,-0.5600000000000023,-3.5600000000000023,True,Too Cold,-0.5600000000000023
2023-01-01 11:00:00,72.81,73,76,-0.18999999999999773,-3.1899999999999977,True,Too Cold,-0.18999999999999773
2023-01-01 12:00:00,72.93,73,76,-0.06999999999999318,-3.069999999999993,True,Too Cold,-0.06999999999999318
2023-01-01 13:00:00,72.92,73,76,-0.0799999999999983,-3.0799999999999983,True,Too Cold,-0.0799999999999983
2023-01-01 14:00:00,72.99,73,76,-0.010000000000005116,-3.010000000000005,True,Too Cold,-0.010000000000005116
2023-01-01 15:00:00,73.0,73,76,0.0,-3.0,False,In Range,0.0
2023-01-01 16:00:00,73.0,73,76,0.0,-3.0,False,In Range,0.0
2023-01-01 17:00:00,73.0,73,76,0.0,-3.0,False,In Range,0.0
